,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-01 00:00:00,20170101,0,213.58681584199067,85.71428571428571,86.42857142857143,10206.75,95.71428571428572,2017-01-01-01,873501,873501,1.0141650438308716,0,0,2017-01-01-01,2017-01-01,2017-01,1,861300.6387012393,13.68026569819301,1.0141650438308716,0.042
2017-01-01 01:00:00,20170101,1,210.905295621144,87.14285714285714,90.71428571428572,10199.75,96.14285714285714,2017-01-01-02,883749,883749,1.0260649919509888,0,0,2017-01-01-02,2017-01-01,2017-01,1,861299.2421850539,13.69192949619292,1.0260649919509888,0.0499
2017-01-01 02:00:00,20170101,2,208.5850007343894,89.28571428571429,87.85714285714286,10191.5,96.0,2017-01-01-03,872500,872500,1.013003945350647,0,0,2017-01-01-03,2017-01-01,2017-01,1,861299.7056965932,13.679119079189867,1.013003945350647,0.052
2017-01-01 03:00:00,20170101,3,209.9779788512361,90.0,90.0,10182.25,96.14285714285714,2017-01-01-04,889750,889750,1.033030986785889,0,0,2017-01-01-04,2017-01-01,2017-01,1,861300.3979370601,13.698696927283018,1.033030986785889,0.041
2017-01-01 04:00:00,20170101,4,208.5415682623372,89.28571428571429,87.14285714285714,10176.25,95.57142857142856,2017-01-01-05,893251,893251,1.0370949506759644,0,0,2017-01-01-05,2017-01-01,2017-01,1,861301.078958866,13.702624014897983,1.0370949506759644,0.039
2017-01-01 05:00:00,20170101,5,210.7191645885927,92.14285714285714,93.57142857142856,10169.5,95.28571428571428,2017-01-01-06,896751,896751,1.0411590337753296,0,0,2017-01-01-06,2017-01-01,2017-01,1,861300.6955799116,13.706534625668038,1.0411590337753296,0.0359
2017-01-01 06:00:00,20170101,6,212.130162753335,94.28571428571428,94.28571428571428,10165.5,95.42857142857144,2017-01-01-07,895250,895250,1.039417028427124,0,0,2017-01-01-07,2017-01-01,2017-01,1,861300.1091147393,13.704859404866479,1.039417028427124,0.035
2017-01-01 07:00:00,20170101,7,207.9908885768584,97.14285714285714,96.42857142857144,10162.5,95.28571428571428,2017-01-01-08,894000,894000,1.037966012954712,0,0,2017-01-01-08,2017-01-01,2017-01,1,861299.8776858859,13.703462172723258,1.037966012954712,0.029
2017-01-01 08:00:00,20170101,8,205.74794643858948,97.14285714285714,97.85714285714286,10161.5,94.42857142857144,2017-01-01-09,887251,887251,1.0301289558410645,0,0,2017-01-01-09,2017-01-01,2017-01,1,861300.9031239108,13.695884324662302,1.0301289558410645,0.0286
2017-01-01 09:00:00,20170101,9,204.3122328493749,97.14285714285714,96.42857142857144,10159.25,94.85714285714286,2017-01-01-10,890000,890000,1.033321976661682,0,0,2017-01-01-10,2017-01-01,2017-01,1,861299.7885473148,13.698977865303197,1.033321976661682,0.0349
2017-01-01 10:00:00,20170101,10,204.29960830426023,95.71428571428572,95.0,10154.25,94.85714285714286,2017-01-01-11,881751,881751,1.0237430334091189,0,0,2017-01-01-11,2017-01-01,2017-01,1,861301.0992257717,13.68966611631234,1.0237430334091189,0.0399
2017-01-01 11:00:00,20170101,11,204.33740883851024,95.71428571428572,96.42857142857144,10147.5,95.57142857142856,2017-01-01-12,830751,830751,0.9645299911499025,0,0,2017-01-01-12,2017-01-01,2017-01,1,861301.3671141396,13.630086593677078,0.9645299911499025,0.0424
2017-01-01 12:00:00,20170101,12,202.89023915438628,96.42857142857144,95.0,10144.5,95.71428571428572,2017-01-01-13,761250,761250,0.8838379979133606,0,0,2017-01-01-13,2017-01-01,2017-01,1,861300.3760838788,13.542718411634281,0.8838379979133606,0.0496
2017-01-01 13:00:00,20170101,13,203.57587222850952,93.57142857142856,95.0,10142.25,95.85714285714286,2017-01-01-14,560751,560751,0.6510509848594666,0,0,2017-01-01-14,2017-01-01,2017-01,1,861301.2084161759,13.2370340190279,0.6510509848594666,0.0487
2017-01-01 14:00:00,20170101,14,202.5078986114208,90.71428571428572,89.28571428571429,10143.5,95.71428571428572,2017-01-01-15,485751,485751,0.5639730095863342,0,0,2017-01-01-15,2017-01-01,2017-01,1,861301.8561939535,13.093453484575523,0.5639730095863342,0.0374
2017-01-01 15:00:00,20170101,15,206.3700924280432,87.14285714285714,84.28571428571429,10148.75,95.42857142857144,2017-01-01-16,445250,445250,0.5169510245323181,0,0,2017-01-01-16,2017-01-01,2017-01,1,861300.1597256035,13.00639344707864,0.5169510245323181,0.0373
2017-01-01 16:00:00,20170101,16,214.16741088833376,80.0,80.0,10154.75,95.0,2017-01-01-17,476001,476001,0.5526530146598816,0,0,2017-01-01-17,2017-01-01,2017-01,1,861301.7343132464,13.073177334885402,0.5526530146598816,0.0441
2017-01-01 17:00:00,20170101,17,226.13540173208133,77.14285714285714,77.85714285714286,10160.5,94.0,2017-01-01-18,284000,284000,0.3297339975833893,0,0,2017-01-01-18,2017-01-01,2017-01,1,861300.3271771416,12.556733038263905,0.3297339975833893,0.0516
2017-01-01 18:00:00,20170101,18,263.2758687808842,65.0,58.57142857142857,10166.25,92.85714285714286,2017-01-01-19,281750,281750,0.3271220028400421,0,0,2017-01-01-19,2017-01-01,2017-01,1,861299.4465486066,12.54877898114151,0.3271220028400421,0.0591
2017-01-01 19:00:00,20170101,19,247.6625480376717,54.285714285714285,47.85714285714285,10172.0,92.42857142857144,2017-01-01-20,442250,442250,0.5134680271148682,0,0,2017-01-01-20,2017-01-01,2017-01,1,861299.9771085338,12.999632873183975,0.5134680271148682,0.055
2017-01-01 20:00:00,20170101,20,283.6232699496537,42.85714285714285,40.0,10178.75,89.71428571428571,2017-01-01-21,473501,473501,0.5497499704360962,0,0,2017-01-01-21,2017-01-01,2017-01,1,861302.4565047076,13.067911415464186,0.5497499704360962,0.052
2017-01-01 21:00:00,20170101,21,292.5713169093148,37.85714285714285,36.42857142857143,10183.5,88.42857142857143,2017-01-01-22,515251,515251,0.5982239842414856,0,0,2017-01-01-22,2017-01-01,2017-01,1,861301.1406644107,13.15241138035604,0.5982239842414856,0.052
2017-01-01 22:00:00,20170101,22,305.32502303548307,40.0,41.42857142857143,10187.5,87.85714285714286,2017-01-01-23,654000,654000,0.7593169808387756,0,0,2017-01-01-23,2017-01-01,2017-01,1,861300.3745518271,13.390864159490155,0.7593169808387756,0.0524
2017-01-01 23:00:00,20170101,23,336.3253155810638,45.71428571428572,45.0,10191.0,84.14285714285714,2017-01-01-24,729500,729500,0.8469759821891785,0,0,2017-01-01-24,2017-01-01,2017-01,1,861299.5118403023,13.500116017745958,0.8469759821891785,0.0493
2017-01-02 00:00:00,20170102,0,332.8500932293609,52.85714285714285,57.85714285714285,10194.75,79.28571428571429,2017-01-02-01,785750,785750,0.912284016609192,0,0,2017-01-02-01,2017-01-02,2017-01,1,861299.75500448,13.574395227328429,0.9122840166091919,0.0396
2017-01-02 01:00:00,20170102,1,337.46415609579793,64.28571428571429,63.57142857142857,10201.5,71.85714285714286,2017-01-02-02,770750,770750,0.894868016242981,0,0,2017-01-02-02,2017-01-02,2017-01,1,861300.1984761074,13.555120643185116,0.894868016242981,0.0364
2017-01-02 02:00:00,20170102,2,353.79060363164416,62.85714285714285,68.57142857142857,10205.0,70.28571428571429,2017-01-02-03,879500,879500,1.0211310386657717,0,0,2017-01-02-03,2017-01-02,2017-01,1,861299.8397827282,13.687109980168769,1.0211310386657717,0.0358
2017-01-02 03:00:00,20170102,3,355.21991920251094,70.0,70.71428571428571,10206.25,66.85714285714286,2017-01-02-04,860751,860751,0.999360978603363,0,0,2017-01-02-04,2017-01-02,2017-01,1,861301.3900171742,13.66556170475311,0.9993609786033629,0.0364
2017-01-02 04:00:00,20170102,4,354.46124945445047,77.14285714285714,78.57142857142857,10208.25,66.42857142857143,2017-01-02-05,846499,846499,0.982816994190216,0,0,2017-01-02-05,2017-01-02,2017-01,1,861298.7005759561,13.648865480555328,0.982816994190216,0.0364
2017-01-02 05:00:00,20170102,5,353.4006790526079,79.28571428571429,78.57142857142857,10211.75,68.57142857142857,2017-01-02-06,853750,853750,0.991234004497528,0,0,2017-01-02-06,2017-01-02,2017-01,1,861300.1532698419,13.657394861169525,0.991234004497528,0.037
2017-01-02 06:00:00,20170102,6,352.7595954460522,84.28571428571429,86.42857142857143,10217.75,65.14285714285714,2017-01-02-07,860251,860251,0.9987810254096984,0,0,2017-01-02-07,2017-01-02,2017-01,1,861300.903916478,13.664980648562574,0.9987810254096984,0.0424
2017-01-02 07:00:00,20170102,7,357.57605813668954,85.0,80.71428571428571,10223.75,70.71428571428571,2017-01-02-08,872750,872750,1.013293981552124,0,0,2017-01-02-08,2017-01-02,2017-01,1,861299.8950839082,13.67940557077012,1.013293981552124,0.0604
2017-01-02 08:00:00,20170102,8,351.9221682341577,78.57142857142857,80.71428571428571,10228.5,74.28571428571429,2017-01-02-09,761001,761001,0.8835480213165283,0,0,2017-01-02-09,2017-01-02,2017-01,1,861301.2328023468,13.542391264961262,0.8835480213165283,0.0729
2017-01-02 09:00:00,20170102,9,352.29773265207695,72.14285714285714,72.85714285714286,10232.0,68.85714285714286,2017-01-02-10,765501,765501,0.8887730240821838,0,0,2017-01-02-10,2017-01-02,2017-01,1,861300.893769268,13.54828710674792,0.8887730240821838,0.0659
2017-01-02 10:00:00,20170102,10,346.44295083330644,74.28571428571429,77.14285714285714,10235.5,69.85714285714286,2017-01-02-11,766250,766250,0.8896440267562866,0,0,2017-01-02-11,2017-01-02,2017-01,1,861299.5501063598,13.549265071288803,0.8896440267562866,0.065
2017-01-02 11:00:00,20170102,11,341.4271828063716,77.14285714285714,74.28571428571429,10235.75,71.42857142857143,2017-01-02-12,769749,769749,0.8937069773674011,0,0,2017-01-02-12,2017-01-02,2017-01,1,861299.0829135686,13.553821065786746,0.8937069773674011,0.0629
2017-01-02 12:00:00,20170102,12,337.1397139999643,75.71428571428571,76.42857142857143,10236.5,72.42857142857143,2017-01-02-13,706250,706250,0.8199809789657593,0,0,2017-01-02-13,2017-01-02,2017-01,1,861300.4668605753,13.46772597737099,0.8199809789657593,0.0566
2017-01-02 13:00:00,20170102,13,333.54070654538225,70.71428571428571,65.0,10236.0,76.28571428571429,2017-01-02-14,655500,655500,0.7610589861869812,0,0,2017-01-02-14,2017-01-02,2017-01,1,861299.862293398,13.39315510773774,0.7610589861869812,0.0538
2017-01-02 14:00:00,20170102,14,322.8559684194123,65.71428571428571,73.57142857142857,10235.75,75.57142857142857,2017-01-02-15,566001,566001,0.6571459770202637,0,0,2017-01-02-15,2017-01-02,2017-01,1,861301.780414836,13.246352890747982,0.6571459770202637,0.0501
2017-01-02 15:00:00,20170102,15,321.13337161044404,75.0,71.42857142857143,10238.75,78.0,2017-01-02-16,772250,772250,0.8966100215911865,0,0,2017-01-02-16,2017-01-02,2017-01,1,861299.764003877,13.55706490569744,0.8966100215911865,0.0521
2017-01-02 16:00:00,20170102,16,309.7499489492323,72.14285714285714,75.71428571428571,10240.0,78.85714285714286,2017-01-02-17,835500,835500,0.97004497051239,0,0,2017-01-02-17,2017-01-02,2017-01,1,861300.27513949,13.63578682390496,0.97004497051239,0.057
2017-01-02 17:00:00,20170102,17,315.188370114092,77.14285714285714,76.42857142857143,10242.0,78.57142857142857,2017-01-02-18,699250,699250,0.8118540048599243,0,0,2017-01-02-18,2017-01-02,2017-01,1,861300.1793600159,13.457765041166866,0.8118540048599243,0.0626
2017-01-02 18:00:00,20170102,18,311.62635900111405,75.0,70.71428571428571,10242.75,78.85714285714286,2017-01-02-19,677249,677249,0.7863109707832336,0,0,2017-01-02-19,2017-01-02,2017-01,1,861299.1871719677,13.425795759947341,0.7863109707832336,0.056
2017-01-02 19:00:00,20170102,19,302.80803565399714,70.71428571428571,70.0,10243.75,80.42857142857143,2017-01-02-20,723500,723500,0.8400089740753174,0,0,2017-01-02-20,2017-01-02,2017-01,1,861300.3221738547,13.491857207222727,0.8400089740753174,0.0501
2017-01-02 20:00:00,20170102,20,301.68654337331805,69.28571428571429,69.28571428571429,10243.25,80.57142857142857,2017-01-02-21,709500,709500,0.8237550258636475,0,0,2017-01-02-21,2017-01-02,2017-01,1,861299.7526250485,13.472317185024512,0.8237550258636475,0.0411
2017-01-02 21:00:00,20170102,21,298.6046230887716,68.57142857142857,69.28571428571429,10242.75,81.28571428571429,2017-01-02-22,692751,692751,0.8043069839477539,0,0,2017-01-02-22,2017-01-02,2017-01,1,861301.734071477,13.448427349765446,0.8043069839477539,0.0442
2017-01-02 22:00:00,20170102,22,288.27147258608414,65.0,68.57142857142857,10241.5,81.28571428571429,2017-01-02-23,689250,689250,0.8002439737319946,0,0,2017-01-02-23,2017-01-02,2017-01,1,861299.831832077,13.443360779737366,0.8002439737319946,0.0432
2017-01-02 23:00:00,20170102,23,284.4283529140295,68.57142857142857,70.71428571428571,10238.25,83.42857142857143,2017-01-02-24,664001,664001,0.7709280252456665,0,0,2017-01-02-24,2017-01-02,2017-01,1,861300.897432555,13.406040440502228,0.7709280252456665,0.0381
2017-01-03 00:00:00,20170103,0,288.05598644912806,72.14285714285714,69.28571428571429,10237.25,83.28571428571429,2017-01-03-01,698251,698251,0.8106930255889893,0,0,2017-01-03-01,2017-01-03,2017-01,1,861301.3532375004,13.456335348106938,0.8106930255889893,0.036
