,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-01 00:00:00,20170101,0,207.7081942551015,49.66666666666666,49.66666666666666,10234.526315789471,98.07692307692308,2017-01-01-01,679334,679334,0.7887300252914429,0,0,2017-01-01-01,2017-01-01,2017-01,1,861301.0513311953,13.42886965747936,0.7887300252914429,0.042
2017-01-01 01:00:00,20170101,1,205.0103205634133,50.0,51.333333333333336,10227.78947368421,98.15384615384616,2017-01-01-02,677462,677462,0.7865579724311829,0,0,2017-01-01-02,2017-01-01,2017-01,1,861299.5147783238,13.426110217698549,0.7865579724311829,0.0499
2017-01-01 02:00:00,20170101,2,202.70100649571697,51.66666666666666,51.0,10219.473684210529,98.23076923076924,2017-01-01-03,653746,653746,0.759024977684021,0,0,2017-01-01-03,2017-01-01,2017-01,1,861297.084049521,13.390475705440608,0.759024977684021,0.052
2017-01-01 03:00:00,20170101,3,201.00755303410864,52.333333333333336,54.66666666666666,10211.368421052632,98.03846153846152,2017-01-01-04,705882,705882,0.8195520043373108,0,0,2017-01-01-04,2017-01-01,2017-01,1,861302.2679027864,13.467204780362305,0.8195520043373108,0.041
2017-01-01 04:00:00,20170101,4,200.32501470984096,52.66666666666666,53.333333333333336,10203.526315789471,97.46153846153848,2017-01-01-05,716738,716738,0.8321580290794373,0,0,2017-01-01-05,2017-01-01,2017-01,1,861300.3479554009,13.48246703657518,0.8321580290794373,0.039
2017-01-01 05:00:00,20170101,5,199.65496922489456,53.333333333333336,53.333333333333336,10197.684210526317,96.8076923076923,2017-01-01-06,751456,751456,0.8724669814109802,0,0,2017-01-01-06,2017-01-01,2017-01,1,861300.2165247818,13.52976926764256,0.8724669814109802,0.0359
2017-01-01 06:00:00,20170101,6,200.66799300759493,53.66666666666666,52.333333333333336,10191.78947368421,96.84615384615384,2017-01-01-07,754200,754200,0.8756530284881592,0,0,2017-01-01-07,2017-01-01,2017-01,1,861300.0531753411,13.533414189713762,0.8756530284881592,0.035
2017-01-01 07:00:00,20170101,7,203.03157920264803,54.0,55.333333333333336,10189.578947368422,96.6153846153846,2017-01-01-08,762765,762765,0.8855980038642883,0,0,2017-01-01-08,2017-01-01,2017-01,1,861299.3668365228,13.54470657908785,0.8855980038642883,0.029
2017-01-01 08:00:00,20170101,8,203.9727806640064,54.0,55.0,10187.842105263158,96.53846153846152,2017-01-01-09,758022,758022,0.8800899982452393,0,0,2017-01-01-09,2017-01-01,2017-01,1,861300.5505248059,13.538469007172084,0.8800899982452393,0.0286
2017-01-01 09:00:00,20170101,9,204.6875805609112,58.0,59.0,10184.052631578948,95.53846153846152,2017-01-01-10,752919,752919,0.8741629719734192,0,0,2017-01-01-10,2017-01-01,2017-01,1,861302.782363669,13.531714259438115,0.8741629719734192,0.0349
