Name,Type
Houtribdijk,Offshore
Lauwersoog,Offshore
Huibertgat,Offshore
Hoorn Terschelling,Offshore
Vlieland,Offshore
De Kooy,Offshore
IJmond,Offshore
Wijk aan zee,Offshore
IJmuiden,Offshore
Valkenburg Zh,Offshore
Wijdenes,Offshore
Hoek van Holland,Offshore
Oosterschelde,Offshore
Schaar,Offshore
Cadzand,Offshore
Vlakte van De Raan,Offshore
Stavoren,Offshore
Leeuwarden,Onshore
Nieuw Beerta,Onshore
Eelde,Onshore
Hoogeveen,Onshore
Heino,Onshore
Twenthe,Onshore
Marknesse,Onshore
Lelystad,Onshore
Hupsel,Onshore
Deelen,Onshore
Soesterberg,Onshore
De Bilt,Onshore
Herwijnen,Onshore
Volkel,Onshore
Arcen,Onshore
Eindhoven,Onshore
Ell,Onshore
Maastricht,Onshore
Gilze Rijen,Onshore
Woensdrecht,Onshore
Schiphol,Onshore
Voorschoten,Onshore
Valkenburg Zh,Onshore
Rotterdam Geulhaven,Onshore
Tholen,Onshore
Westdorpe,Onshore
Wilhelminadorp,Onshore
Hoofdplaat,Onshore
Berkhout,Onshore
